"Item name","Item sku","Item barcode","Item description","Item manufacturer","Item weight","Listing name","Listing sku","Listing barcode","Listing description","Listing manufacturer","Item Woo_Item Colour","Item Woo_Price","Item Woo_TaxRate","Item Woo_Item Size","Listing Woo_TaxRate","Listing Woo_Price","Listing Woo_Item Size","Listing Woo_Item Colour","Item Woo_Categories","Listing Woo_Categories","Item Woo_Size","Item Woo_SalePrice","Listing Woo_SalePrice",
"One","1","111111111111111111",,"1",,"One",,"111000000000000000",,"1",
"GOOD BEADS 3.3MM","121000",,,"VENIARD",,"GOOD BEADS 3.3MM",,,,"VENIARD",
"DANDE SPOON","425252",,,,,"DANDE SPOON",,,,,
"ARSENAL BACKPACK","432777","432777",,"BBS",,"ARSENAL BACKPACK",,"432777",,"BBS",
"MEPPS BRONZE SIZE 3","624689","624689",,"MEPPS",,"MEPPS BRONZE SIZE 3",,"624689",,"MEPPS",
"MEPPS GOLD SIZE 3","626009","626009",,"MEPPS",,"MEPPS GOLD SIZE 3",,"626009",,"MEPPS",
"MEPPS BLACK FURY SIZE 4","685670","685670",,"MEPPS",,"MEPPS BLACK FURY SIZE 4",,"685670",,"MEPPS",
"MEPPS GOLD/BLUE SIZE 3","693799","693799",,"MEPPS",,"MEPPS GOLD/BLUE SIZE 3",,"693799",,"MEPPS",
"MEPPS COMET GOLD/RED SIZE 4","730000","730000",,"MEPPS",,"MEPPS COMET GOLD/RED SIZE 4",,"730000",,"MEPPS",
"MEPPS COMET SILVER/RED SIZE 3","730856","730856",,"MEPPS",,"MEPPS COMET SILVER/RED SIZE 3",,"730856",,"MEPPS",
"MEPPS COMET GOLD/RED SIZE 4","750426","750426",,"MEPPS",,"MEPPS COMET GOLD/RED SIZE 4",,"750426",,"MEPPS",
"STORNOWAY T-SHIRT S","765884","765884",,"STORNOWAY",,"STORNOWAY T-SHIRT S",,"765884",,"STORNOWAY",
"STORNOWAY T-SHIRT M","765885","765885",,"STORNOWAY",,"STORNOWAY T-SHIRT M",,"765885",,"STORNOWAY",
"STORNOWAY T-SHIRT L","765886","765886",,"STORNOWAY",,"STORNOWAY T-SHIRT L",,"765886",,"STORNOWAY",
"STORNOWAY T-SHIRT XL","765887","765887",,"STORNOWAY",,"STORNOWAY T-SHIRT XL",,"765887",,"STORNOWAY",
"STORNOWAY T-SHIRT XXL","765888","765888",,"STORNOWAY",,"STORNOWAY T-SHIRT XXL",,"765888",,"STORNOWAY",
"KONO BLACK SUITCASE","767667","878778",,"KONO",,"KONO BLACK SUITCASE",,"878778",,"KONO",
"MEPPS SILVER SIZE 3","783949","783949",,"MEPPS",,"MEPPS SILVER SIZE 3",,"783949",,"MEPPS",
"JAXON PIN ON REEL WITH NIPPER","813665","813665",,"JAXON",,"JAXON PIN ON REEL WITH NIPPER",,"813665",,"JAXON",
"DURA PRESS BLK TROUSER 48R","822990","822990",,"DURA PRESS","0","DURA PRESS BLK TROUSER 48R",,"822990",,"DURA PRESS",
"CAVANI TIE, POCKET SQUARE AND PIN","839999","839999",,"CAVANI",,"CAVANI TIE, POCKET SQUARE AND PIN",,"839999",,"CAVANI",
"DURA PRESS BLK TROUSER 32R","920000","920000",,"DURA PRESS","0","DURA PRESS BLK TROUSER 32R",,"920000",,"DURA PRESS",
"DURA PRESS BLK TROUSER 44R","922900","922900",,"DURA PRESS","0","DURA PRESS BLK TROUSER 44R",,"922900",,"DURA PRESS",
"DURA PRESS BLK TROUSER 48S","922990","922990",,"DURA PRESS","0","DURA PRESS BLK TROUSER 48S",,"922990",,"DURA PRESS",
"DURA PRESS BLK TROUSER 34R","930000","930000",,"DURA PRESS","0","DURA PRESS BLK TROUSER 34R",,"930000",,"DURA PRESS",
"DURA PRESS BLK TROUSER 34L","940000","940000",,"DURA PRESS","0","DURA PRESS BLK TROUSER 34L",,"940000",,"DURA PRESS",
"MEPPS COMET BLACK FURY SIZE 3","944899","944899",,"MEPPS",,"MEPPS COMET BLACK FURY SIZE 3",,"944899",,"MEPPS",
"DURA PRESS BLK TROUSER 38S","950000","950000",,"DURA PRESS","0","DURA PRESS BLK TROUSER 38S",,"950000",,"DURA PRESS",
"DURA PRESS BLK TROUSER 40S","960000","960000",,"DURA PRESS","0","DURA PRESS BLK TROUSER 40S",,"960000",,"DURA PRESS",
"SHORT COCK HACKLES","1000001",,,"VENIARD",,"SHORT COCK HACKLES",,,,"VENIARD",
"Fisher in the west","2222222",,,,,"Fisher in the west",,,,,
"DANDE SPOON","4252589",,,,,"DANDE SPOON",,,,,
"WEVER  3.25","5787379",,,"wever",,"WEVER  3.25",,,,"wever",
"£1.60","6767667","6767676","",,,"£1.60",,"6767676",,,
"GEN SEALS FUR","10000000","10000000","","VENIARD",,,,,,,
"HARE FUR","10000001","10000001",,"VENIARD",,"HARE FUR",,"10000001",,"VENIARD",
"BLUE JAY WINGS","10000003","10000003",,,,"BLUE JAY WINGS",,"10000003",,,
"MALLARD DUCK MED","10000004","10000004",,"VENIARD",,"MALLARD DUCK MED",,"10000004",,"VENIARD",
"PEACOCK HERL","10000005","10000005",,"VENIARD",,"PEACOCK HERL",,"10000005",,"VENIARD",
"KRYSTAL CHENILLE GOLD","10000006","10000006",,"VENIARD",,"KRYSTAL CHENILLE GOLD",,"10000006",,"VENIARD",
"GUINEA FOWL","10000007","10000007",,"VENIARD",,"GUINEA FOWL",,"10000007",,"VENIARD",
"GREY SQUIRREL","10000008","10000008",,"VENIARD",,"GREY SQUIRREL",,"10000008",,"VENIARD",
"SHORT COCK HACKLES","10000009","10000009",,"VENIARD",,"SHORT COCK HACKLES",,"10000009",,"VENIARD",
"GOLDEN PHEASANT TOPPINGS S","10000010","10000010",,"VENIARD",,"GOLDEN PHEASANT TOPPINGS S",,"10000010",,"VENIARD",
"GOLDEN PHEASANT TIPPETS S","10000011","10000011",,"VENIARD",,"GOLDEN PHEASANT TIPPETS S",,"10000011",,"VENIARD",
"GOLDEN PHEASANT TOPPINGS M","10000012","10000012",,"VENIARD",,"GOLDEN PHEASANT TOPPINGS M",,"10000012",,"VENIARD",
"GOLDEN PHEASANT TIPPINGS M","10000013","10000013",,"VENIARD",,"GOLDEN PHEASANT TIPPINGS M",,"10000013",,"VENIARD",
