"Item SKU","Item Name","Item Format","Composing Quantity"
"KiramiTinyHotTub","Kirami Tiny Hot Tub (1-2 people)","Variable",
"KT-PB","Kirami Tiny Hot Tub (1-2 people) - Premium Bundle","Simple",
"KT-PLED","Kirami Tiny Hot Tub (1-2 people) - Premium LED Bundle","Simple",
"KT-BBPC","Kirami Tiny Hot Tub (1-2 people) - Standard Bundle","Simple",

"SKU-YIL2R4ZM7L","Husqvarna Winter Jacket - Male","Variable",
"582227304","Husqvarna Winter Jacket - Male - X Large","Simple",
"582227306","Husqvarna Winter Jacket - Male - XXX Large","Simple",
"582227302","Husqvarna Winter Jacket - Male - Medium","Simple",
"582227303","Husqvarna Winter Jacket - Male - Large","Simple",
"582227301","Husqvarna Winter Jacket - Male - Small","Simple",
"582227305","Husqvarna Winter Jacket - Male - XX Large","Simple",

"HOTBLOX48","Hot Blox - Hardwood Heat Logs - Half Pallet","Composite",
"HOTBLOX1","Hot Blox - Single Pack","Simple","48"

"SKU-IILM6862J4","Husqvarna 120iTK4-H Cordless Pole Saw","Variable",
"970515902","Husqvarna 120iTK4-H Cordless Pole Saw - 120iTK4-H Unit (120iTK4 &amp; HK4)","Simple",
"970515905","Husqvarna 120iTK4-H Cordless Pole Saw - 120iTK4-H Kit (120iTK4, HK4, BLi10 &amp; QC80)","Simple",

"1006-PB","Delivita Pizza Oven Blue Diamond - Pizzaiolo Bundle","Composite",
"PIZZAIOLOCOLLECTION","Delivita Pizzaiolo Collection","Simple","1"
"1006","Delivita Pizza Oven Blue Diamond - Unit","Simple","1"

"SKU-GEYA96OYN8","Husqvarna Functional 24 Chainsaw Rubber Boots","Variable",
"595002843","Husqvarna Functional 24 Chainsaw Rubber Boots - Size 9","Simple",
"595002846","Husqvarna Functional 24 Chainsaw Rubber Boots - Size 11","Simple",
"595002844","Husqvarna Functional 24 Chainsaw Rubber Boots - Size 9.5","Simple",
"595002845","Husqvarna Functional 24 Chainsaw Rubber Boots - Size 10.5","Simple",
"595002842","Husqvarna Functional 24 Chainsaw Rubber Boots - Size 8","Simple",

"ASHNET60","60 Large Net Bags – Ash","Composite",
"ASHNET1","Single Ash Net","Simple","60"

"SKU-78R5VQIF1V","Delivita Pizza Oven Chilli Red","Variable",
"1005-CCB","Delivita Pizza Oven Chilli Red - Complete Collection Bundle","Simple",
"1005-WFCB","Delivita Pizza Oven Chilli Red - Wood-Fired Chef's Bundle","Simple",
"1005-PB","Delivita Pizza Oven Chilli Red - Pizzaiolo Bundle","Simple",
"1005-Unit","Delivita Pizza Oven Chilli Red - Pizza Oven Only","Simple",

"SKU-9JQBB4NX5C","Contura 620T Style - 6kW","Variable",
"C620T:2","Contura 620T Style - 6kW - Black w/ warming shelf","Simple",
"C620T:1","Contura 620T Style - 6kW - Black","Simple",
"C620T:3","Contura 620T Style - 6kW - Grey","Simple",
"C620T:4","Contura 620T Style - 6kW - Grey w/ warming shelf","Simple",

"SKU-0V8ACQ9QOB","RB73 Stainless Steel Sparks Catcher","Variable",
"RB73SC-100mm","RB73 Stainless Steel Sparks Catcher - Piquia (100mm)","Simple",
"RB73SC-150mm","RB73 Stainless Steel Sparks Catcher - Quaruba (150mm)","Simple",

"SKU-MIR9LFD5QI","Contura 310G - 7kW","Variable",
"310G:2","Contura 310G - 7kW - White","Simple",
"310G:1","Contura 310G - 7kW - Black","Simple",

"D60MPC-10","Durstons Premium Multi-Purpose Compost - Pallets - 10 bags","Composite",
"D60MPC","Local Delivery - Durstons 60L Premium Multi-Purpose Compost","Simple","10"

"D60MPC-20","Durstons Premium Multi-Purpose Compost - Pallets - 20 bags","Composite",
"D60MPC","Local Delivery - Durstons 60L Premium Multi-Purpose Compost","Simple","20"

"SKU-X1WNYKWK4M","NEW Kirami Tiny Hot Tub (1-2 people)","Variable",
"2970-1-PLEDB","NEW Kirami Tiny Hot Tub (1-2 people) - Premium LED Bundle","Simple",
"2970-1-PB","NEW Kirami Tiny Hot Tub (1-2 people) - Premium Bundle","Simple",
"2970-1-SB","NEW Kirami Tiny Hot Tub (1-2 people) - Standard Bundle","Simple",

"SKU-HQ5G3XUIXX","Husqvarna Mini Laminated Small Bar Mount","Variable",
"501959252","Husqvarna Mini Laminated Small Bar Mount - 14""","Simple",

"SKU-EFLBYV2KGE","Husqvarna LC 142i Battery Lawn Mower","Variable",
"970541804","Husqvarna LC 142i Battery Lawn Mower - LC 142i Kit","Simple",
"970541801","Husqvarna LC 142i Battery Lawn Mower - LC 142i Unit","Simple",

"KFMT-PB","Kirami Family M Thermowood Hot Tub (3-5 people) - Premium Bundle","Composite",
"SPELTI-CMC","Kirami Air Vent for External Heaters","Simple","1"
"KFamilyM-BOM","Kirami Family M Hot Tub Unit (Thermowood)","Simple","1"
"CTLO","Kirami Ash Shovel for External Heaters","Simple","1"
"IC1900U","Premium Insulated Medium Cover","Simple","1"
"TWR50K","Kirami Stepin Thermowood Steps","Simple","1"
"KiramiGrate","Kirami Grate","Simple","1"

"HOTTIES50","Hotties Heat Logs - Half Pallet","Composite",
"HOTTIES1","Hotties Heat Logs - Single Pack","Simple","50"

"SKU-19JM170IQ1","Husqvarna Mulch Kit","Variable",
"589222701","Husqvarna Mulch Kit - LC 141i","Simple",
"SKU-S5I6FLWXHH","Husqvarna Mulch Kit - LC 247iX / 347iVX","Simple",
"582872801","Husqvarna Mulch Kit - LC 141iV","Simple",
"531223201","Husqvarna Mulch Kit - LC 142i/iS","Simple",

"967987914Kit","Husqvarna 340i Battery Chainsaw - Unit + BLi30 &amp; QC250","Composite",
"967937701","Husqvarna BLi30 Battery","Simple","1"
"967987914","Husqvarna 340i Battery Chainsaw - 35cm / 14'' Bar &amp; Chain","Simple","1"
"967970102","Husqvarna Battery Charger QC250","Simple","1"

"CLOCKBLITHFIELDAIRKIT","Clock Blithfield 5kw Direct Air Kit","Composite",
"DVKIT100WH","Rytons 100mm Direct Vent Kit","Simple","1"
"CBAM","Clock Blithfield Air Manifold","Simple","1"

"KBCB-BBPC","Kirami Breezy M Coalblack Hot Tub (4-6 people) - Standard Bundle","Composite",
"PC1900-K","Kirami ABS Cover 170cm","Simple","1"
"SPELTI-CMC","Kirami Air Vent for External Heaters","Simple","1"
"KBreezyMCB-BOM","Kirami Breezy M Coalblack Hot Tub Unit","Simple","1"

"1004-CCB","Delivita Pizza Oven Hale Grey - Complete Collection Bundle","Composite",
"1004","Delivita Pizza Oven Hale Grey - Unit","Simple","1"
"COMPLETECOLLECTION","Delivita Complete Collection","Simple","1"

"KC-BBPC","Kirami Chill Hot Tub (3-4 people) - Standard Bundle","Composite",
"PC1900-K","Kirami ABS Cover 170cm","Simple","1"
"SPELTI-CMC","Kirami Air Vent for External Heaters","Simple","1"
"KChill-BOM","Kirami Chill Hot Tub Unit","Simple","1"

"OB-Unit","Delivita Build a Bundle - Orange Blaze","Composite",
"1007","Delivita Pizza Oven Orange Blaze - Unit","Simple","1"

"CLOCKSUDBURYAIRKIT","Clock Sudbury Direct Air Kit","Composite",
"DVKIT100WH","Rytons 100mm Direct Vent Kit","Simple","1"
"CSAM","Clock Sudbury Air Manifold","Simple","1"

"BIRCHNET24","24 Large Net Bags - Birch","Composite",
"BIRCHNET1","Single Birch Net","Simple","24"

"SKU-URO3UXHH9P","RB73 - Quaruba L Mobile Outdoor Heater","Variable",
"RB-10LM-4-Glass-Side","RB73 - Quaruba L Mobile Outdoor Heater - 4 Glass Sides","Simple",

"1004-Unit","Delivita Pizza Oven Hale Grey - Pizza Oven Only","Composite",
"1004","Delivita Pizza Oven Hale Grey - Unit","Simple","1"

"SKU-HDVQHOW41H","Husqvarna T535iXP Battery Chainsaw","Variable",
"967893912Kit","Husqvarna T535iXP Battery Chainsaw - Unit + BLi200 &amp; QC330","Simple",
"967893912","Husqvarna T535iXP Battery Chainsaw - 30cm / 12"" Bar &amp; Chain","Simple",

"967884810-VAR","Husqvarna 530iPT5 Battery Pole Saw","Variable",
"967884810","Husqvarna 530iPT5 Battery Pole Saw - 25cm / 10"" Bar &amp; Chain","Simple",
"967884810Kit","Husqvarna 530iPT5 Battery Pole Saw - Unit + BLi200 &amp; QC330","Simple",

"SKU-TLBOBFNAVT","Husqvarna LC 141i Lawn Mower","Variable",
"967628405","Husqvarna LC 141i Lawn Mower - LC141i Kit","Simple",
"967628401","Husqvarna LC 141i Lawn Mower - LC141i Unit Only","Simple",

"SKU-IHPYCGR2K8","Calido Fire Log Briquettes","Variable",
"CFL96","Calido Fire Log Briquettes - Full Pallet","Simple",
"CFL48","Calido Fire Log Briquettes - Half Pallet","Simple",
"CFL72","Calido Fire Log Briquettes - 3/4 Pallet","Simple",
"CFL24","Calido Fire Log Briquettes - Quarter Pallet","Simple",

"SKU-54A17G3CXT","Charnwood Aire 3 Heat Shield","Variable",
"010/AA080/GM","Charnwood Aire 3 Heat Shield - Gunmetal Grey","Simple",
"010/AA080/MB","Charnwood Aire 3 Heat Shield - Matt Black","Simple",

"967893814","Husqvarna 535iXP Battery Chainsaw","Composite",
"535IXP-BOM","Husqvarna Battery Chainsaw 535iXP Unit","Simple","1"

"BIRCHNET40","40 Large Net Bags - Birch","Composite",
"BIRCHNET1","Single Birch Net","Simple","40"

"WOODFIREDCOLLECTION","Delivita Wood-Fired Chefs Collection","Composite",
"1509","Delivita Leather Glove","Simple","1"
"1206","Delivita All Weather Cover","Simple","1"
"1401","Delivita Rectangular Black Iron Dish","Simple","1"
"1100","Delivita Oven Door","Simple","1"
"1213","Delivita Recipe Book","Simple","1"
"44039300","Kiln Dried Sustainable Wood Pack","Simple","1"
"1210","Delivita Prod & Blow","Simple","1"
"1204","Delivita Oven Brush","Simple","1"

"SKU-7DSTJT49R5","Husqvarna Rain Jacket Coated","Variable",
"523079254","Husqvarna Rain Jacket Coated - L","Simple",
"523079250","Husqvarna Rain Jacket Coated - M","Simple",
"523079258","Husqvarna Rain Jacket Coated - XL","Simple",
"523079246","Husqvarna Rain Jacket Coated - S","Simple",

"CFL48BIRCHNET12","Calido Fire Log Briquettes + Net Bag Bundle - 48 Packs of Fire Logs w/ 12 Birch Net Bags","Composite",
"CFL1","Calido Fire Log Briquettes","Simple","48"
"BIRCHNET1","Single Birch Net","Simple","12"

"BIRCHNET12","12 Large Net Bags – Birch","Composite",
"BIRCHNET1","Single Birch Net","Simple","12"

"505698161","Husqvarna Flat Files 6'' 12 Pack","Composite",
"505698161-BOM","Husqvarna Flat Files 6” - Single","Simple","12"

"TLC2003","Kirami Breezy M Coalblack Hot Tub (4-6 people)","Variable",
"KBCB-PB","Kirami Breezy M Coalblack Hot Tub (4-6 people) - Premium Bundle","Simple",
"KBCB-BB","Kirami Breezy M Coalblack Hot Tub (4-6 people) - Basic Bundle w/ cover","Simple",
"KBCB-BBPC","Kirami Breezy M Coalblack Hot Tub (4-6 people) - Standard Bundle","Simple",
"KBCB-PBLED","Kirami Breezy M Coalblack Hot Tub (4-6 people) - Premium LED Bundle","Simple",

"KFMCB-BBPC","Kirami Family M CoalBlack Hot Tub (3-5 people) - Standard Bundle","Composite",
"PC1900-K","Kirami ABS Cover 170cm","Simple","1"
"SPELTI-CMC","Kirami Air Vent for External Heaters","Simple","1"
"KFamilyMCB-BOM","Kirami Family M Hot Tub Unit (Coalblack)","Simple","1"

"KBDW-BBPC","Kirami Breezy M Dark Walnut Hot Tub (4-6 people) - Standard Bundle","Composite",
"PC1900-K","Kirami ABS Cover 170cm","Simple","1"
"SPELTI-CMC","Kirami Air Vent for External Heaters","Simple","1"
"KDarkWalnutMCB-BOM","Kirami Breezy M Dark Walnut Hot Tub Unit","Simple","1"

"i400-G2sn","Arada i400 Cassette Wood Burning Stove","Variable",
"i400-G2sn-3sided","Arada i400 Cassette Wood Burning Stove - i400 with 3 sided frame","Simple",
"i400-G2sn-noframe","Arada i400 Cassette Wood Burning Stove - i400 without frame","Simple",

"HG-Unit","Delivita Build a Bundle - Hale Grey","Composite",
"1004","Delivita Pizza Oven Hale Grey - Unit","Simple","1"

"SKU-CBL3NJ2YCD","Durstons Premium Multi-Purpose Compost - Pallets","Variable",
"D60MPC-10","Durstons Premium Multi-Purpose Compost - Pallets - 10 bags","Simple",
"D60MPC-20","Durstons Premium Multi-Purpose Compost - Pallets - 20 bags","Simple",
"D60MPC-45","Durstons Premium Multi-Purpose Compost - Pallets - 45 bags","Simple",
"D60MPC-35","Durstons Premium Multi-Purpose Compost - Pallets - 35 bags","Simple",

"1009-WFCB","Delivita Pizza Oven Berry Hot - Wood-Fired Chef's Bundle","Composite",
"WOODFIREDCOLLECTION","Delivita Wood-Fired Chefs Collection","Simple","1"
"1009","Delivita Pizza Oven Berry Hot - Unit","Simple","1"

"SKU-UPAGUACNJC","Contura i4 Modern Cassette 3 Sided - 4kW","Variable",
"i4-3sided-grey","Contura i4 Modern Cassette 3 Sided - 4kW - Grey 3 Sided","Simple",
"i4-3sided-black","Contura i4 Modern Cassette 3 Sided - 4kW - Black 3 Sided","Simple",

"KST-BBPC","Kirami Steady M Thermowood Hot Tub (4-6 people) - Standard Bundle","Composite",
"PC1900-K","Kirami ABS Cover 170cm","Simple","1"
"SPELTI-CMC","Kirami Air Vent for External Heaters","Simple","1"
"KSteadyMTW-BOM","Kirami Steady M Thermowood Hot Tub Unit","Simple","1"

"1005-WFCB","Delivita Pizza Oven Chilli Red - Wood-Fired Chef's Bundle","Composite",
"WOODFIREDCOLLECTION","Delivita Wood-Fired Chefs Collection","Simple","1"
"1005","Delivita Pizza Oven Chilli Red - Unit","Simple","1"

"CWBNSAMPLE","Calido Wood Briquettes - Sample Pack","Composite",
"CWBN1","Calido Wood Briquettes","Simple","1"

"SKU-L5TSA09CIH","Charnwood Skye 5 Low Stand","Variable",
"009/SKYE05LS/MB","Charnwood Skye 5 Low Stand - Matt Black","Simple",

"CFL48","Calido Fire Log Briquettes - Half Pallet","Composite",
"CFL1","Calido Fire Log Briquettes","Simple","48"

"SKU-QLZ61V8KC0","Husqvarna 120i Battery Chainsaw","Variable",
"967098202","Husqvarna 120i Battery Chainsaw - 120i Kit (Includes BLI20 &amp; QC80 Charger)","Simple",
"967098201","Husqvarna 120i Battery Chainsaw - 120i Bare Unit","Simple",

"HOTTIES3PACK","Hotties Heat Logs - Three Pack","Composite",
"HOTTIES1","Hotties Heat Logs - Single Pack","Simple","3"

"1001-PB","Delivita Pizza Oven Olive Green - Pizzaiolo Bundle","Composite",
"PIZZAIOLOCOLLECTION","Delivita Pizzaiolo Collection","Simple","1"
"1001","Delivita Pizza Oven Olive Green - Unit","Simple","1"

"KHDW-PB","Kirami Hazy M DarkWalnut Hot Tub (4-6 people) - Premium Bundle","Composite",
"2723","Kirami Stepin Coalblack Steps","Simple","1"
"SPELTI-CMC","Kirami Air Vent for External Heaters","Simple","1"
"CTLO","Kirami Ash Shovel for External Heaters","Simple","1"
"IC1900U","Premium Insulated Medium Cover","Simple","1"
"KHazyDW-BOM","Kirami Hazy Dark Walnut - Unit Only","Simple","1"
"KiramiGrate","Kirami Grate","Simple","1"

"1005-PB","Delivita Pizza Oven Chilli Red - Pizzaiolo Bundle","Composite",
"1005","Delivita Pizza Oven Chilli Red - Unit","Simple","1"
"PIZZAIOLOCOLLECTION","Delivita Pizzaiolo Collection","Simple","1"

"SKU-XE0QT4I5JL","Husqvarna Shell Forest Jacket - Green","Variable",
"593250562","Husqvarna Shell Forest Jacket - Green - XXL","Simple",
"593250558","Husqvarna Shell Forest Jacket - Green - XL","Simple",
"593250550","Husqvarna Shell Forest Jacket - Green - M","Simple",
"593250554","Husqvarna Shell Forest Jacket - Green - L","Simple",
"593250546","Husqvarna Shell Forest Jacket - Green - S","Simple",

"SKU-9OPO6G1BQR","Charnwood Island III BLU Wood Burning Stove","Variable",
"009/BISL03/MB","Charnwood Island Three BLU Wood Burning Stove - Matt Black","Simple",

"BIRCHNET32","32 Large Net Bags - Birch","Composite",
"BIRCHNET1","Single Birch Net","Simple","32"

"TLC2003-1","Kirami Chill Hot Tub (3-4 people)","Variable",
"KC-PBLED","Kirami Chill Hot Tub (3-4 people) - Premium LED Bundle","Simple",
"KC-BBPC","Kirami Chill Hot Tub (3-4 people) - Standard Bundle","Simple",
"KC-PB","Kirami Chill Hot Tub (3-4 people) - Premium Bundle","Simple",
"KC-BB","Kirami Chill Hot Tub (3-4 people) - Basic Bundle w/ cover","Simple",

"SKU-AIMYGB8J9D","Charnwood Aire 5 Heat Shield","Variable",
"010/AB080/MB","Charnwood Aire 5 Heat Shield - Matt Black","Simple",
"010/AB080/GM","Charnwood Aire 5 Heat Shield - Gunmetal Grey","Simple",

"CFL48ASHNET12","Calido Fire Log Briquettes + Net Bag Bundle - 48 Packs of Fire Logs w/ 12 Ash Net Bags","Composite",
"CFL1","Calido Fire Log Briquettes","Simple","48"
"ASHNET1","Single Ash Net","Simple","12"

"SKU-ENZOS9XEM4","Auto-Mow The Cube","Variable",
"38980296","Auto-Mow The Cube - Nature","Simple",
"38980299","Auto-Mow The Cube - Black","Simple",

"SKU-BCWIM9AUST","Husqvarna 340i Battery Chainsaw","Variable",
"967987914Kit","Husqvarna 340i Battery Chainsaw - Unit + BLi30 &amp; QC250","Simple",
"967987914","Husqvarna 340i Battery Chainsaw - 35cm / 14'' Bar &amp; Chain","Simple",

"597356102","Husqvarna Intensive Round Cut File 5.5mm 12 Pack","Composite",
"597356102-BOM","Husqvarna Intensive Round Cut File 5.5mm - Single","Simple","12"

"CFLCWBN-SAMPLE","Calido Wood Briquettes & Fire Log Sample Packs","Composite",
"CFL1","Calido Fire Log Briquettes","Simple","1"
"CWBN1","Calido Wood Briquettes","Simple","1"

"SKU-QJCD6P3IHN","The Gallery Stove Ultra High Temp Matt Black Paint","Variable",
"‎GFPPAINT250SPRAY","The Gallery Stove Ultra High Temp Matt Black Paint - 250ml","Simple",
"‎GFPPAINT450SPRAY","The Gallery Stove Ultra High Temp Matt Black Paint - 450ml","Simple",

"597355501","Husqvarna File Round 4.5mm Intensive Cut – 3 Pack","Composite",
"597355501-BOM","Husqvarna File Round 4.5mm Intensive Cut – Single","Simple","3"

"1003-WFCB","Delivita Pizza Oven Very Black - Wood-Fired Chef's Bundle","Composite",
"WOODFIREDCOLLECTION","Delivita Wood-Fired Chefs Collection","Simple","1"
"1003","Delivita Pizza Oven Very Black - Unit","Simple","1"

"PTBBOX3","Pizza Tronchetti Briquettes Box - 3 Boxes","Composite",
"PTB1","Pizza Tronchetti Briquettes - In Store","Simple","3"

